admin_project_code,admin_project_contact,bldg_use_type,bldg_use_subtype,bldg_project_status,site_country,bldg_year_permit,bldg_year_complete,bldg_year_complete_interval,bldg_QTO_type,bldg_area_definition,bldg_area_gfa,bldg_area_hfa,bldg_area_interval,bldg_users_total,bldg_floors_ag,bldg_floors_bg,bldg_struct_type,bldg_roof_type,bldg_energy_class_general,bldg_energy_class_country,bldg_certification,inv_energy_consumption,inv_mat_mass_total,inv_mat_1_type,inv_mat_1_mass,inv_mat_2_type,inv_mat_2_mass,inv_mat_3_type,inv_mat_3_mass,inv_mat_4_type,inv_mat_4_mass,inv_mat_5_type,inv_mat_5_mass,lca_RSP,lca_software,lca_database,lca_scenarios_decarbonisation,scope_parts_1_ground,scope_parts_2_structure,scope_parts_3_secondary,scope_parts_4_finishes,scope_parts_5_mechanical,scope_parts_6_electrical,scope_parts_6+_renewables,scope_parts_7_facilities,scope_parts_8_fittings,scope_LCS_A123,scope_LCS_A4,scope_LCS_A5,scope_LCS_B1,scope_LCS_B2,scope_LCS_B3,scope_LCS_B4,scope_LCS_B5,scope_LCS_B6,scope_LCS_B7,scope_LCS_B8,scope_LCS_C1,scope_LCS_C2,scope_LCS_C3,scope_LCS_C4,scope_LCS_D,scope_handling_D,GHG_A123_m2a,GHG_A45_m2a,GHG_B1234_m2a,GHG_B5_m2a,GHG_B67_m2a,GHG_C12_m2a,GHG_C34_m2a,GHG_D_m2a,GHG_sum_em,GHG_sum_op,GHG_sum_em_m2a,GHG_sum_op_m2a,GHG_A1,GHG_A2,GHG_A3,GHG_A4,GHG_A5,GHG_B1,GHG_B2,GHG_B3,GHG_B4,GHG_B5,GHG_B6,GHG_B7,GHG_C1,GHG_C2,GHG_C3,GHG_C4,GHG_D,GHG_A1_m2a,GHG_A2_m2a,GHG_A3_m2a,GHG_A4_m2a,GHG_A5_m2a,GHG_B1_m2a,GHG_B2_m2a,GHG_B3_m2a,GHG_B4_m2a,GHG_B6_m2a,GHG_B7_m2a,GHG_C1_m2a,GHG_C2_m2a,GHG_C3_m2a,GHG_C4_m2a,GHG_A123,GHG_A45,GHG_A12345,GHG_B1234,GHG_B12345,GHG_B67,GHG_B1234567,GHG_C12,GHG_C34,GHG_C1234,GHG_C34_D,GHG_C1234_D,GHG_A12345_m2a,GHG_B12345_m2a,GHG_B1234567_m2a,GHG_C1234_m2a,GHG_C34_D_m2a,GHG_C1234_D_m2a,GHG_P1_sum_m2a,GHG_P1_A123_m2a,GHG_P1_A45_m2a,GHG_P1_B1234_m2a,GHG_P1_B5_m2a,GHG_P1_C12_m2a,GHG_P1_C34_m2a,GHG_P1_D_m2a,GHG_P2_sum_m2a,GHG_P2_A123_m2a,GHG_P2_A45_m2a,GHG_P2_B1234_m2a,GHG_P2_B5_m2a,GHG_P2_C12_m2a,GHG_P2_C34_m2a,GHG_P2_D_m2a,GHG_P34_sum_m2a,GHG_P34_A123_m2a,GHG_P34_A45_m2a,GHG_P34_B1234_m2a,GHG_P34_B5_m2a,GHG_P34_C12_m2a,GHG_P34_C34_m2a,GHG_P34_D_m2a,GHG_P4_sum_m2a,GHG_P4_A123_m2a,GHG_P4_A45_m2a,GHG_P4_B1234_m2a,GHG_P4_B5_m2a,GHG_P4_C12_m2a,GHG_P4_C34_m2a,GHG_P4_D_m2a,GHG_P56_sum_m2a,GHG_P56_A123_m2a,GHG_P56_A45_m2a,GHG_P56_B1234_m2a,GHG_P56_B5_m2a,GHG_P56_C12_m2a,GHG_P56_C34_m2a,GHG_P56_D_m2a,GHG_P78_sum_m2a,GHG_P78_A123_m2a,GHG_P78_A45_m2a,GHG_P78_B1234_m2a,GHG_P78_B5_m2a,GHG_P78_C12_m2a,GHG_P78_C34_m2a,GHG_P78_D_m2a,GHG_A123_m2a_APEN,GHG_A45_m2a_APEN,GHG_B1234_m2a_APEN,GHG_B5_m2a_APEN,GHG_B67_m2a_APEN,GHG_C12_m2a_APEN,GHG_C34_m2a_APEN,GHG_D_m2a_APEN,GHG_sum_em_m2a_APEN,GHG_sum_op_m2a_APEN
BUILD01,BUILD,Non-residential,Other,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,15001-20000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,53200000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,4.03,n/a,n/a,n/a,n/a,n/a,n/a,-1.17,n/a,n/a,8.09,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.41,3.5,n/a,n/a,n/a,1.55,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD02,BUILD,Non-residential,Other,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,15001-20000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,24000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,1.73,n/a,n/a,n/a,n/a,n/a,n/a,-1.5,n/a,n/a,6.29,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.91,3.5,n/a,n/a,n/a,2.58,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD03,BUILD,Non-residential,Other,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),9819,9819,5001-10000,n/a,n/a,n/a,no data,n/a,New Advanced,2020,No certification,n/a,12500000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,8.35,n/a,n/a,n/a,n/a,n/a,n/a,-3.85,n/a,n/a,9.8,2.67,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.65,2.67,n/a,n/a,n/a,0.58,0.22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD04,BUILD,Non-residential,Other,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),19518,19518,15001-20000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,27800000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,6.18,n/a,n/a,n/a,n/a,n/a,n/a,-1.53,n/a,n/a,7.3,2.69,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,2.69,n/a,n/a,n/a,0.22,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD05,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,10001-15000,n/a,n/a,n/a,no data,n/a,New Standard,2015,DGNB,n/a,19800000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,4.9,n/a,n/a,n/a,n/a,n/a,n/a,-1.16,n/a,n/a,6.19,2.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.39,2.09,n/a,n/a,n/a,0.7,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD06,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,10001-15000,n/a,n/a,n/a,no data,n/a,New Advanced,2020,DGNB,n/a,17400000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,5.4,n/a,n/a,n/a,n/a,n/a,n/a,-1.21,n/a,n/a,6.65,2.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.4,2.09,n/a,n/a,n/a,0.35,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD07,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,10001-15000,n/a,n/a,n/a,no data,n/a,New Standard,2015,DGNB,n/a,18200000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,5.11,n/a,n/a,n/a,n/a,n/a,n/a,-0.75,n/a,n/a,6.26,2.58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.62,2.58,n/a,n/a,n/a,0.36,0.17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD08,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,10001-15000,n/a,n/a,n/a,no data,n/a,New Advanced,2020,DGNB,n/a,21100000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,5.35,n/a,n/a,n/a,n/a,n/a,n/a,-0.82,n/a,n/a,6.6,2.38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.64,2.38,n/a,n/a,n/a,0.55,0.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD09,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,0-5000,n/a,n/a,n/a,no data,n/a,New Advanced,2020,DGNB,n/a,5930000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,5.5,n/a,n/a,n/a,n/a,n/a,n/a,-0.69,n/a,n/a,7.34,1.39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.88,1.39,n/a,n/a,n/a,0.68,0.28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD10,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,0-5000,n/a,n/a,n/a,no data,n/a,New Standard,2010,DGNB,n/a,5010000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,6.21,n/a,n/a,n/a,n/a,n/a,n/a,-1.35,n/a,n/a,7.68,3.27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.95,3.27,n/a,n/a,n/a,0.45,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD11,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2020-Today,As-built measurement,Denmark (BR18),n/a,n/a,0-5000,n/a,n/a,n/a,no data,n/a,New Standard,2015,DGNB,n/a,3310000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,-1,n/a,n/a,n/a,n/a,n/a,n/a,-2.21,n/a,n/a,5.27,2.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.47,2.05,n/a,n/a,n/a,5.77,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD12,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),n/a,n/a,5001-10000,n/a,n/a,n/a,no data,n/a,New Advanced,2020,DGNB,n/a,9320000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,6.3,n/a,n/a,n/a,n/a,n/a,n/a,-2.09,n/a,n/a,8.61,2.55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.17,2.55,n/a,n/a,n/a,0.56,0.58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD13,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),20174,20174,20001-25000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,29300000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,5.21,n/a,n/a,n/a,n/a,n/a,n/a,-1.13,n/a,n/a,6.41,2.55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.47,2.55,n/a,n/a,n/a,0.37,0.36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD14,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),2592,2592,0-5000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,5630000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,6.73,n/a,n/a,n/a,n/a,n/a,n/a,-0.87,n/a,n/a,8.2,2.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.66,2.25,n/a,n/a,n/a,0.66,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD15,BUILD,Residential,Multi-family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),2592,2592,0-5000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,3240000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,7.45,n/a,n/a,n/a,n/a,n/a,n/a,-1.92,n/a,n/a,8.85,2.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.66,2.25,n/a,n/a,n/a,0.59,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BUILD16,BUILD,Residential,Single family house,New Built,Denmark,n/a,n/a,2015-2019,As-built measurement,Denmark (BR18),146,146,0-5000,n/a,n/a,n/a,no data,n/a,New Standard,2015,No certification,n/a,90300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,LCAbyg,Ökobau,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,3.48,n/a,n/a,n/a,n/a,n/a,n/a,-0.78,n/a,n/a,5.25,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.61,3.6,n/a,n/a,n/a,0.87,0.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
